"Team,Division,Conference"
"Morehead State,FCS,Pioneer Football League"
"Morgan State,FCS,Mid-Eastern Athletic"
"Murray State,FCS,Missouri Valley"
"Nicholls,FCS,Southland"
"Norfolk State,FCS,Mid-Eastern Athletic"
"North Carolina A&T,FCS,CAA Football"
"North Carolina Central,FCS,Mid-Eastern Athletic"
"North Dakota,FCS,Missouri Valley"
"Northern Arizona,FCS,Big Sky"
"Northern Colorado,FCS,Big Sky"
"Northern Iowa,FCS,Missouri Valley"
"Northwestern State,FCS,Southland"
"Penn,FCS,Ivy League"
"Portland State,FCS,Big Sky"
"Prairie View A&M,FCS,Southwestern Athletic"
"Presbyterian,FCS,Pioneer Football League"
"Princeton,FCS,Ivy League"
"Rhode Island,FCS,CAA Football"
"Richmond,FCS,Patriot League"
"Robert Morris,FCS,Northeast"
"Sacramento State,FCS,Big Sky"
"Sacred Heart,FCS,Northeast"
"Samford,FCS,Southern"
"San Diego,FCS,Pioneer Football League"
"South Carolina State,FCS,Mid-Eastern Athletic"
"South Dakota,FCS,Missouri Valley"
"South Dakota State,FCS,Missouri Valley"
"Southeast Missouri State,FCS,Big South-OVC"
"Southeastern Louisiana,FCS,Southland"
"Southern,FCS,Southwestern Athletic"
"Southern Illinois,FCS,Missouri Valley"
"Southern Utah,FCS,United Athletic"
"St. Francis (PA),FCS,Northeast"
"St. Thomas (MN),FCS,Pioneer Football League"
"Stetson,FCS,Pioneer Football League"
"Stony Brook,FCS,CAA Football"
"Tarleton State,FCS,United Athletic"
"Tennessee State,FCS,Big South-OVC"
"Tennessee Tech,FCS,Big South-OVC"
"Texas Southern,FCS,Southwestern Athletic"
"Towson,FCS,CAA Football"
"UC Davis,FCS,Big Sky"
"UNH,FCS,CAA Football"
"Utah Tech,FCS,United Athletic"
"Valparaiso,FCS,Pioneer Football League"
"Villanova,FCS,CAA Football"
"VMI,FCS,Southern"
"Wagner,FCS,Northeast"
"Weber State,FCS,Big Sky"
"West Georgia,FCS,United Athletic"
"Western Carolina,FCS,Southern"
"Western Illinois,FCS,Big South-OVC"
"William & Mary,FCS,CAA Football"
"Wofford,FCS,Southern"
"YSU,FCS,Missouri Valley"
